Month,PMI,New Orders,Production,Employment,Deliveries,Inventories,Customer Inv,Prices,Ord Backlog,Exports,Imports
Oct-13,56.6,61.3,60.8,54.3,54.1,52.5,47,55.5,51.5,57,55.5
Nov-13,57,63.4,62.4,55.4,53.3,50.5,45,52.5,54,59.5,55
Dec-13,56.5,64.4,61.7,55.8,53.7,47,47.5,53.5,51.5,55,55
Jan-14,51.3,51.2,54.8,52.3,54.3,44,44,60.5,48,54.5,53.5
Feb-14,54.3,54.5,48.2,52.3,58.5,52.5,46.5,60,52,53.5,53.5
Mar-14,54.4,55.1,55.9,51.1,54,52.5,42,59,57.5,55.5,54.5
Apr-14,55.3,55.1,55.7,54.7,55.9,53,42,56.5,55.5,57,58
May-14,55.6,56.9,61,52.8,53.2,53,46.5,60,52.5,56.5,54.5
Jun-14,55.7,58.9,60,52.8,51.9,53,46.5,58,48,54.5,57
Jul-14,56.4,63.4,61.2,58.2,54.1,48.5,43.5,59.5,49.5,53,52
Aug-14,58.1,66.7,64.5,58.1,53.9,52,49,58,52.5,55,56
Sep-14,56.1,60,64.6,54.6,52.2,51.5,44.5,59.5,47,53.5,53
Oct-14,57.9,65.8,64.8,55.5,56.2,52.5,48,53.5,53,51.5,54.5
Nov-14,57.6,66,64.4,54.9,56.8,51.5,50,44.5,55,55,56
Dec-14,55.1,57.3,58.8,56.8,59.3,45.5,44.5,38.5,52.5,52,55
Jan-15,53.5,52.9,56.5,54.1,52.9,51,42.5,35,46,49.5,55.5
Feb-15,52.9,52.5,53.7,51.4,54.3,52.5,46.5,35,51.5,48.5,54
Mar-15,51.5,51.8,53.8,50,50.5,51.5,45.5,39,49.5,47.5,52.5
Apr-15,51.5,53.5,56,48.3,50.1,49.5,44,40.5,49.5,51.5,54
May-15,52.8,55.8,54.5,51.7,50.7,51.5,45.5,49.5,53.5,50,55
Jun-15,53.5,56,54,55.5,48.8,53,48.5,49.5,47,49.5,53.5
Jul-15,52.7,56.5,56,52.7,48.9,49.5,44,44,42.5,48,52
Aug-15,51.1,51.7,53.6,51.2,50.7,48.5,53,39,46.5,46.5,51.5
Sep-15,50.2,50.1,51.8,50.5,50.2,48.5,54.5,38,41.5,46.5,50.5
Oct-15,49.4,50.8,52.5,47.7,49.7,46.5,51,39,42.5,47.5,47
Nov-15,48.4,49,49.8,50.8,49.6,43,50.5,35.5,43,47.5,49
Dec-15,48,48.8,49.9,48,49.8,43.5,51.5,33.5,41,51,45.5
Jan-16,48.2,51.5,50.2,45.9,50,43.5,51.5,33.5,43,47,51
Feb-16,49.7,51.5,52.8,48.5,49.7,45,47,38.5,48.5,46.5,49
Mar-16,51.7,58.3,55.3,48.1,50.2,47,49,51.5,51,52,49.5
Apr-16,50.7,55.8,54.2,49.2,49.1,45.5,46,59,50.5,52.5,50
May-16,51,55.7,52.6,49.2,54.1,45,50,63.5,47,52.5,50
Jun-16,52.8,57,54.7,50.4,55.4,48.5,51,60.5,52.5,53.5,52
Jul-16,52.3,56.9,55.4,49.4,51.8,49.5,51,55,48,52.5,52
Aug-16,49.4,49.1,49.6,48.3,50.9,49,49.5,53,45.5,52.5,47
Sep-16,51.7,55.1,52.8,49.7,50.3,49.5,53,53,49.5,52,49
Oct-16,52,52.1,54.6,52.9,52.2,47.5,49.5,54.5,45.5,52.5,52
Nov-16,53.5,54.8,55.6,52.5,55.5,49,49,54.5,49,52,50.5
Dec-16,54.5,60.3,59.4,52.8,53,47,49,65.5,49,56,50.5
Jan-17,56,60.4,61.4,56.1,53.6,48.5,48.5,69,49.5,54.5,50
Feb-17,57.6,65.1,62.9,54.2,54.8,51.5,47.5,68,57,55,54
Mar-17,56.6,64.5,57.6,58.9,55.9,49,47,70.5,57.5,59,53.5
Apr-17,55.3,57.5,58.6,52,55.1,51,45.5,68.5,57,59.5,55.5
May-17,55.5,59.5,57.1,53.5,53.1,51.5,49.5,60.5,55,57.5,53.5
Jun-17,56.7,63.5,62.4,57.2,57,49,50.5,55,57,59.5,54
